production_date,land_class,land_category,state,county,fips_code,offshore_region,commodity,disposition_code,disposition_description,volume,year,month
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),1,Sales-Royalty Due-Measured,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),1,Sales-Royalty Due-Measured,14508756,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),1,Sales-Royalty Due-Measured,1207520,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),4,Sales-Royalty Due-Not Measured,487324,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),4,Sales-Royalty Due-Not Measured,114808,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),5,"Sales-Royalty Not Due, Recovered Injection-Measured",1160,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),7,Condensate Sales-Royalty Due-Measured,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),9,Sales-Royalty Not Due-Measured,19200237,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),10,Produced Into Inventory Prior To Sales,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),10,Produced Into Inventory Prior To Sales,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),11,Transferred To Facility,62886995,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),11,Transferred To Facility,215315,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),12,Transferred To Facility-Returned To L/A,1183124,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),13,Transferred From Facility,-303833,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),13,Transferred From Facility,-48129,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),13,Transferred From Facility,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),14,Injected On L/A,3073667,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),14,Injected On L/A,444968,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),15,Sales-Buy-Back-Measured-Royalty Not Due,425429,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),16,Pipeline Drip/Retrograde Scrubber Production,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),16,Pipeline Drip/Retrograde Scrubber Production,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),20,Used On L/A-Native Production Only,92543,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),20,Used On L/A-Native Production Only,8181834,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),20,Used On L/A-Native Production Only,661340,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),21,Flared Oil Well Gas - Royalty Not Due,1109,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),21,Flared Oil Well Gas - Royalty Not Due,884593,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),21,Flared Oil Well Gas - Royalty Not Due,17892,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),22,Flared Gas Well Gas - Royalty Not Due,54230,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),25,Buy-Back Purchased For L/A Use,-662786,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),26,Buy-Back-Used On L/A,237356,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),27,Water Disposal-Other Than Injected/Transferred,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),27,Water Disposal-Other Than Injected/Transferred,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),29,Waste Oil/Slop Oil,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),42,Differences/Adjustments,149109,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),42,Differences/Adjustments,-34546,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Gas (Mcf),42,Differences/Adjustments,38469,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),43,Sales-Royalty Not Due-Fmp Not Assigned,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Gas (Mcf),61,Vented Oil Well Gas - Royalty Not Due,937,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),61,Vented Oil Well Gas - Royalty Not Due,196825,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Gas (Mcf),62,Vented Gas Well Gas - Royalty Not Due,152024,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),1,Sales-Royalty Due-Measured,54848,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),1,Sales-Royalty Due-Measured,34110265,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),1,Sales-Royalty Due-Measured,71204,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),4,Sales-Royalty Due-Not Measured,3278,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),4,Sales-Royalty Due-Not Measured,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),5,"Sales-Royalty Not Due, Recovered Injection-Measured",0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),7,Condensate Sales-Royalty Due-Measured,214350,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),9,Sales-Royalty Not Due-Measured,8492935,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),10,Produced Into Inventory Prior To Sales,2192988,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),10,Produced Into Inventory Prior To Sales,1566344,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),11,Transferred To Facility,95,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),11,Transferred To Facility,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),12,Transferred To Facility-Returned To L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),13,Transferred From Facility,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),13,Transferred From Facility,-50400,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),13,Transferred From Facility,-5244,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),14,Injected On L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),14,Injected On L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),15,Sales-Buy-Back-Measured-Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),16,Pipeline Drip/Retrograde Scrubber Production,43202,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),16,Pipeline Drip/Retrograde Scrubber Production,5244,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),17,Water Injected/Transferred Off-L/A,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),20,Used On L/A-Native Production Only,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),20,Used On L/A-Native Production Only,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),20,Used On L/A-Native Production Only,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),21,Flared Oil Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),21,Flared Oil Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),21,Flared Oil Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),22,Flared Gas Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),25,Buy-Back Purchased For L/A Use,-3581,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),26,Buy-Back-Used On L/A,3581,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),27,Water Disposal-Other Than Injected/Transferred,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),27,Water Disposal-Other Than Injected/Transferred,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),29,Waste Oil/Slop Oil,1397,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),42,Differences/Adjustments,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),42,Differences/Adjustments,-177,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Pacific,Oil (Bbl),42,Differences/Adjustments,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),43,Sales-Royalty Not Due-Fmp Not Assigned,4099,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Alaska,Oil (Bbl),61,Vented Oil Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),61,Vented Oil Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Offshore,Withheld,Withheld,,Offshore Gulf,Oil (Bbl),62,Vented Gas Well Gas - Royalty Not Due,0,2015,1
2015-01-01,Federal,Onshore,Ak,Kenai (Post),2122.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,517601,2015,1
2015-01-01,Federal,Onshore,Ak,Tyonek,2122.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,542301,2015,1
2015-01-01,Federal,Onshore,Al,Tuscaloosa,1125.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,31860,2015,1
2015-01-01,Federal,Onshore,Ar,Cleburne,5023.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,102007,2015,1
2015-01-01,Federal,Onshore,Ar,Conway,5029.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,146850,2015,1
2015-01-01,Federal,Onshore,Ar,Crawford,5033.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,7802,2015,1
2015-01-01,Federal,Onshore,Ar,Faulkner,5045.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,64137,2015,1
2015-01-01,Federal,Onshore,Ar,Franklin,5047.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,10648,2015,1
2015-01-01,Federal,Onshore,Ar,Johnson,5071.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,27117,2015,1
2015-01-01,Federal,Onshore,Ar,Logan,5083.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,302347,2015,1
2015-01-01,Federal,Onshore,Ar,Pope,5115.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,11267,2015,1
2015-01-01,Federal,Onshore,Ar,Sebastian,5131.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,211689,2015,1
2015-01-01,Federal,Onshore,Ar,Sharp,5135.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,2178,2015,1
2015-01-01,Federal,Onshore,Ar,Van Buren,5141.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,174497,2015,1
2015-01-01,Federal,Onshore,Ar,White,5145.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,39710,2015,1
2015-01-01,Federal,Onshore,Ar,Yell,5149.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,34343,2015,1
2015-01-01,Federal,Onshore,Ca,Contra Costa,6013.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,63,2015,1
2015-01-01,Federal,Onshore,Ca,Glenn,6021.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,504,2015,1
2015-01-01,Federal,Onshore,Ca,Kern,6029.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,608928,2015,1
2015-01-01,Federal,Onshore,Ca,Los Angeles,6037.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,6775,2015,1
2015-01-01,Federal,Onshore,Ca,Sacramento,6067.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,31167,2015,1
2015-01-01,Federal,Onshore,Ca,San Joaquin,6077.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,295,2015,1
2015-01-01,Federal,Onshore,Ca,Santa Barbara,6083.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,1280,2015,1
2015-01-01,Federal,Onshore,Ca,Solano,6095.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,174583,2015,1
2015-01-01,Federal,Onshore,Ca,Ventura,6111.0,,Gas (Mcf),1,Sales-Royalty Due-Measured,39340,2015,1
